Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
64	16:17:51	16:17:51	16:17:51	16:17:51	16:17:51	16:17:51			16:17:51	16:17:51	16:17:51	16:17:51	16:17:55	16:17:55	16:17:55	16:17:55	16:17:55	16:17:55			16:17:55	16:17:55		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
65	16:17:55	16:17:55	16:17:55	16:17:55	16:17:55	16:17:55			16:17:55	16:17:55	16:17:55	16:17:55	16:17:59	16:17:59	16:17:59	16:17:59	16:17:59	16:17:59			16:18:00	16:18:00		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
66	16:18:00	16:18:00	16:18:00	16:18:00	16:18:00	16:18:00			16:18:00	16:18:00	16:18:00	16:18:00	16:18:04	16:18:04	16:18:04	16:18:04	16:18:04	16:18:04			16:18:04	16:18:04		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
67	16:18:04	16:18:04	16:18:04	16:18:04	16:18:04	16:18:04			16:18:04	16:18:04	16:18:04	16:18:04	16:18:08	16:18:08	16:18:08	16:18:08	16:18:08	16:18:08			16:18:08	16:18:08		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
68	16:18:08	16:18:08	16:18:08	16:18:08	16:18:08	16:18:08			16:18:08	16:18:08	16:18:08	16:18:08	16:18:12	16:18:12	16:18:12	16:18:12	16:18:12	16:18:12			16:18:13	16:18:13		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
69	16:18:13	16:18:13	16:18:13	16:18:13	16:18:13	16:18:13			16:18:13	16:18:13	16:18:13	16:18:13	16:18:17	16:18:17	16:18:17	16:18:17	16:18:17	16:18:17			16:18:17	16:18:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
70	16:18:17	16:18:17	16:18:17	16:18:17	16:18:17	16:18:17	16:18:17	16:18:17	16:18:17	16:18:17	16:18:17	16:18:17	16:18:21	16:18:21	16:18:21	16:18:21	16:18:21	16:18:21	16:18:21	16:18:21	16:18:21	16:18:21		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:03	00:00:00	00:00:00	00:00:00	00:00:00	00:00:04
71	16:18:22	16:18:22	16:18:22	16:18:22	16:18:22	16:18:22			16:18:22	16:18:22	16:18:22	16:18:22	16:18:26	16:18:26	16:18:26	16:18:26	16:18:26	16:18:26			16:18:26	16:18:26		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
72	16:18:26	16:18:26	16:18:26	16:18:26	16:18:26	16:18:26			16:18:26	16:18:26	16:18:26	16:18:26	16:18:30	16:18:30	16:18:30	16:18:30	16:18:30	16:18:30			16:18:30	16:18:30		00:00:00	00:00:00		00:00:00	00:00:00	00:00:03	00:00:00	00:00:00		00:00:00	00:00:04
73	16:18:30	16:18:30	16:18:30	16:18:30	16:18:30	16:18:30			16:18:30	16:18:30	16:18:30	16:18:30	16:18:34	16:18:34	16:18:34	16:18:34	16:18:34	16:18:34			16:18:35	16:18:35		00:00:00	00:00:00		00:00:00	00:00:00	00:00:04	00:00:00	00:00:00		00:00:00	00:00:04
