VehicleType  travelTime  travelDistance  emptyTimeShare   emptyDistanceShare
defaultVehicleType  -45927.0   23000.0   -0.0   0.0
defaultVehicleType  -50018.0   23000.0   -0.0   0.0
defaultVehicleType  -45567.0   23000.0   -0.0   0.0
defaultVehicleType  -46259.0   23000.0   -0.0   0.0
defaultVehicleType  -44487.0   23000.0   -0.0   0.0
defaultVehicleType  -52994.0   39000.0   -0.0   0.0
defaultVehicleType  -48137.0   23000.0   -0.0   0.0
defaultVehicleType  -50990.0   39000.0   -0.0   0.0
defaultVehicleType  -46569.0   31000.0   -0.0   0.0
defaultVehicleType  -42060.0   23000.0   -0.0   0.0
defaultVehicleType  -46209.0   27000.0   -0.0   0.0
defaultVehicleType  -47231.0   27000.0   -0.0   0.0
defaultVehicleType  -40613.0   23000.0   -0.0   0.0
defaultVehicleType  -47649.0   31000.0   -0.0   0.0
heavy  -27710.0   31000.0   -0.0   0.0
defaultVehicleType  -44409.0   27000.0   -0.0   0.0
heavy  -30649.0   47000.0   -0.0   0.0
defaultVehicleType  -35621.0   19000.0   -0.0   0.0
defaultVehicleType  -37470.0   19000.0   -0.0   0.0
defaultVehicleType  -36701.0   19000.0   -0.0   0.0
defaultVehicleType  -39807.0   31000.0   -0.0   0.0
heavy  -26270.0   31000.0   -0.0   0.0
defaultVehicleType  -47650.0   27000.0   -0.0   0.0
defaultVehicleType  -45927.0   23000.0   -0.0   0.0
heavy  -25124.0   31000.0   -0.0   0.0
defaultVehicleType  -48730.0   27000.0   -0.0   0.0
defaultVehicleType  -54268.0   23000.0   -0.0   0.0
defaultVehicleType  -50378.0   23000.0   -0.0   0.0
defaultVehicleType  -46835.0   27000.0   -0.0   0.0
heavy  -23360.0   31000.0   -0.0   0.0
defaultVehicleType  -50774.0   39000.0   -0.0   0.0
defaultVehicleType  -46964.0   23000.0   -0.0   0.0
defaultVehicleType  -53250.0   39000.0   -0.0   0.0
defaultVehicleType  -45740.0   23000.0   -0.0   0.0
heavy  -13404.0   15000.0   -0.0   0.0
defaultVehicleType  -33920.0   19000.0   -0.0   0.0
defaultVehicleType  -45191.0   27000.0   -0.0   0.0
heavy  -26840.0   35000.0   -0.0   0.0
defaultVehicleType  -38403.0   19000.0   -0.0   0.0
defaultVehicleType  -49459.0   27000.0   -0.0   0.0
heavy  -21566.0   23000.0   -0.0   0.0
defaultVehicleType  -33518.0   19000.0   -0.0   0.0
defaultVehicleType  -45514.0   23000.0   -0.0   0.0
defaultVehicleType  -36243.0   19000.0   -0.0   0.0
defaultVehicleType  -47725.0   27000.0   -0.0   0.0
defaultVehicleType  -37683.0   19000.0   -0.0   0.0
defaultVehicleType  -33182.0   19000.0   -0.0   0.0
heavy  -28765.0   31000.0   -0.0   0.0
defaultVehicleType  -37547.0   19000.0   -0.0   0.0
heavy  -18435.0   31000.0   -0.0   0.0
defaultVehicleType  -34214.0   19000.0   -0.0   0.0
defaultVehicleType  -36701.0   19000.0   -0.0   0.0
defaultVehicleType  -37154.0   19000.0   -0.0   0.0
defaultVehicleType  -37917.0   19000.0   -0.0   0.0
defaultVehicleType  -39467.0   23000.0   -0.0   0.0
defaultVehicleType  -37088.0   19000.0   -0.0   0.0
defaultVehicleType  -38888.0   19000.0   -0.0   0.0
defaultVehicleType  -34928.0   19000.0   -0.0   0.0
defaultVehicleType  -46454.0   23000.0   -0.0   0.0
defaultVehicleType  -30680.0   19000.0   -0.0   0.0
defaultVehicleType  -35741.0   19000.0   -0.0   0.0
defaultVehicleType  -34640.0   19000.0   -0.0   0.0
defaultVehicleType  -34922.0   19000.0   -0.0   0.0
defaultVehicleType  -37323.0   19000.0   -0.0   0.0
defaultVehicleType  -38621.0   19000.0   -0.0   0.0
defaultVehicleType  -35163.0   23000.0   -0.0   0.0
defaultVehicleType  -37901.0   19000.0   -0.0   0.0
defaultVehicleType  -41183.0   19000.0   -0.0   0.0
defaultVehicleType  -38621.0   23000.0   -0.0   0.0
defaultVehicleType  -44836.0   19000.0   -0.0   0.0
defaultVehicleType  -35741.0   19000.0   -0.0   0.0
defaultVehicleType  -42079.0   19000.0   -0.0   0.0
defaultVehicleType  -34571.0   23000.0   -0.0   0.0
defaultVehicleType  -46636.0   23000.0   -0.0   0.0
defaultVehicleType  -40290.0   23000.0   -0.0   0.0
defaultVehicleType  -45196.0   19000.0   -0.0   0.0
defaultVehicleType  -42941.0   19000.0   -0.0   0.0
defaultVehicleType  -42676.0   19000.0   -0.0   0.0
defaultVehicleType  -38528.0   19000.0   -0.0   0.0
defaultVehicleType  -39248.0   23000.0   -0.0   0.0
defaultVehicleType  -36728.0   23000.0   -0.0   0.0
defaultVehicleType  -35054.0   23000.0   -0.0   0.0
defaultVehicleType  -36854.0   23000.0   -0.0   0.0
defaultVehicleType  -46374.0   23000.0   -0.0   0.0
defaultVehicleType  -47814.0   23000.0   -0.0   0.0
defaultVehicleType  -40218.0   23000.0   -0.0   0.0
defaultVehicleType  -44574.0   23000.0   -0.0   0.0
defaultVehicleType  -47454.0   23000.0   -0.0   0.0
heavy  -24438.0   31000.0   -0.0   0.0
heavy  -15480.0   23000.0   -0.0   0.0
heavy  -25878.0   31000.0   -0.0   0.0
defaultVehicleType  -42649.0   19000.0   -0.0   0.0
defaultVehicleType  -42316.0   19000.0   -0.0   0.0
defaultVehicleType  -41569.0   19000.0   -0.0   0.0
defaultVehicleType  -44476.0   23000.0   -0.0   0.0
defaultVehicleType  -40489.0   19000.0   -0.0   0.0
defaultVehicleType  -39383.0   19000.0   -0.0   0.0
defaultVehicleType  -43070.0   19000.0   -0.0   0.0
defaultVehicleType  -45230.0   19000.0   -0.0   0.0
defaultVehicleType  -42289.0   19000.0   -0.0   0.0
defaultVehicleType  -41227.0   23000.0   -0.0   0.0
defaultVehicleType  -38945.0   19000.0   -0.0   0.0
defaultVehicleType  -42057.0   19000.0   -0.0   0.0
defaultVehicleType  -39584.0   19000.0   -0.0   0.0
defaultVehicleType  -44128.0   19000.0   -0.0   0.0
defaultVehicleType  -41990.0   19000.0   -0.0   0.0
defaultVehicleType  -42328.0   23000.0   -0.0   0.0
defaultVehicleType  -44150.0   19000.0   -0.0   0.0
defaultVehicleType  -43408.0   19000.0   -0.0   0.0
defaultVehicleType  -49289.0   31000.0   -0.0   0.0
defaultVehicleType  -44128.0   23000.0   -0.0   0.0
heavy  -21960.0   31000.0   -0.0   0.0
heavy  -26238.0   43000.0   -0.0   0.0
defaultVehicleType  -48534.0   23000.0   -0.0   0.0
defaultVehicleType  -48830.0   23000.0   -0.0   0.0
defaultVehicleType  -47454.0   23000.0   -0.0   0.0
defaultVehicleType  -47454.0   23000.0   -0.0   0.0
defaultVehicleType  -46838.0   31000.0   -0.0   0.0
defaultVehicleType  -38704.0   23000.0   -0.0   0.0
defaultVehicleType  -46771.0   23000.0   -0.0   0.0
heavy  -26539.0   31000.0   -0.0   0.0
defaultVehicleType  -49358.0   27000.0   -0.0   0.0
defaultVehicleType  -46838.0   31000.0   -0.0   0.0
heavy  -28488.0   27000.0   -0.0   0.0
defaultVehicleType  -46257.0   23000.0   -0.0   0.0
heavy  -28648.0   43000.0   -0.0   0.0
defaultVehicleType  -46612.0   27000.0   -0.0   0.0
defaultVehicleType  -41968.0   19000.0   -0.0   0.0
defaultVehicleType  -43529.0   31000.0   -0.0   0.0
defaultVehicleType  -42688.0   19000.0   -0.0   0.0
defaultVehicleType  -47439.0   31000.0   -0.0   0.0
defaultVehicleType  -38582.0   27000.0   -0.0   0.0
defaultVehicleType  -47649.0   23000.0   -0.0   0.0
heavy  -28578.0   39000.0   -0.0   0.0
defaultVehicleType  -38942.0   23000.0   -0.0   0.0
defaultVehicleType  -46769.0   23000.0   -0.0   0.0
heavy  -29059.0   39000.0   -0.0   0.0
defaultVehicleType  -40382.0   19000.0   -0.0   0.0
defaultVehicleType  -41929.0   31000.0   -0.0   0.0
defaultVehicleType  -39302.0   23000.0   -0.0   0.0
defaultVehicleType  -42652.0   31000.0   -0.0   0.0
defaultVehicleType  -38222.0   19000.0   -0.0   0.0
defaultVehicleType  -45892.0   27000.0   -0.0   0.0
defaultVehicleType  -35590.0   23000.0   -0.0   0.0
defaultVehicleType  -50134.0   31000.0   -0.0   0.0
defaultVehicleType  -37030.0   19000.0   -0.0   0.0
