VehicleId	VehicleType	CarrierId	DriverID	travelTime	travelDistance	cost
freight_14_veh_carrier_14_heavyVehicle_1	heavy	1	freight_14_veh_carrier_14_heavyVehicle_1	-31828.0	43000.0	-7106.985999999999
freight_14_veh_carrier_14_heavyVehicle_0	heavy	1	freight_14_veh_carrier_14_heavyVehicle_0	-24965.0	31000.0	-2525.8300000000004
freight_24_veh_carrier_24_heavyVehicle_1	heavy	2	freight_24_veh_carrier_24_heavyVehicle_1	-15931.0	27000.0	-1090.154
freight_34_veh_carrier_34_heavyVehicle_3	heavy	3	freight_34_veh_carrier_34_heavyVehicle_3	-30324.0	35000.0	-5564.785999999999
freight_24_veh_carrier_24_heavyVehicle_2	heavy	2	freight_24_veh_carrier_24_heavyVehicle_2	-15011.0	27000.0	-1107.378
freight_34_veh_carrier_34_heavyVehicle_4	heavy	3	freight_34_veh_carrier_34_heavyVehicle_4	-28808.0	31000.0	-3482.878
freight_24_veh_carrier_24_heavyVehicle_0	heavy	2	freight_24_veh_carrier_24_heavyVehicle_0	-23918.0	31000.0	-2732.5019999999995
freight_27_veh_carrier_27_heavyVehicle_4	heavy	2	freight_27_veh_carrier_27_heavyVehicle_4	-22814.0	39000.0	-1963.2299999999996
freight_27_veh_carrier_27_heavyVehicle_3	heavy	2	freight_27_veh_carrier_27_heavyVehicle_3	-23534.0	35000.0	-2214.666
freight_17_veh_carrier_17_heavyVehicle_4	heavy	1	freight_17_veh_carrier_17_heavyVehicle_4	-28715.0	35000.0	-2819.2260000000006
freight_17_veh_carrier_17_heavyVehicle_3	heavy	1	freight_17_veh_carrier_17_heavyVehicle_3	-29435.0	39000.0	-4026.822000000001
freight_17_veh_carrier_17_heavyVehicle_2	heavy	1	freight_17_veh_carrier_17_heavyVehicle_2	-20076.0	27000.0	-1575.338
freight_17_veh_carrier_17_heavyVehicle_1	heavy	1	freight_17_veh_carrier_17_heavyVehicle_1	-23249.0	27000.0	-1657.9220000000003
freight_17_veh_carrier_17_heavyVehicle_0	heavy	1	freight_17_veh_carrier_17_heavyVehicle_0	-20369.0	27000.0	-2040.4739999999997
freight_27_veh_carrier_27_heavyVehicle_0	heavy	2	freight_27_veh_carrier_27_heavyVehicle_0	-29092.0	39000.0	-5208.7660000000005
freight_27_veh_carrier_27_heavyVehicle_2	heavy	2	freight_27_veh_carrier_27_heavyVehicle_2	-15563.0	23000.0	-883.0780000000001
freight_27_veh_carrier_27_heavyVehicle_1	heavy	2	freight_27_veh_carrier_27_heavyVehicle_1	-19390.0	23000.0	-1207.0620000000001
freight_8_veh_carrier_8_heavyVehicle_0	heavy	8	freight_8_veh_carrier_8_heavyVehicle_0	-24438.0	31000.0	-2309.254000000001
freight_8_veh_carrier_8_heavyVehicle_2	heavy	8	freight_8_veh_carrier_8_heavyVehicle_2	-15480.0	23000.0	-983.3340000000004
freight_8_veh_carrier_8_heavyVehicle_1	heavy	8	freight_8_veh_carrier_8_heavyVehicle_1	-25878.0	31000.0	-3160.2380000000003
freight_21_veh_carrier_21_heavyVehicle_3	heavy	21	freight_21_veh_carrier_21_heavyVehicle_3	-30573.0	43000.0	-6579.978
freight_21_veh_carrier_21_heavyVehicle_4	heavy	21	freight_21_veh_carrier_21_heavyVehicle_4	-28348.0	35000.0	-3622.8020000000006
freight_4_veh_carrier_4_heavyVehicle_4	heavy	4	freight_4_veh_carrier_4_heavyVehicle_4	-29603.0	39000.0	-4513.886000000001
freight_4_veh_carrier_4_heavyVehicle_3	heavy	4	freight_4_veh_carrier_4_heavyVehicle_3	-27443.0	23000.0	-2856.414
freight_4_veh_carrier_4_heavyVehicle_2	heavy	4	freight_4_veh_carrier_4_heavyVehicle_2	-28824.0	43000.0	-4814.234000000001
freight_8_veh_carrier_8_heavyVehicle_4	heavy	8	freight_8_veh_carrier_8_heavyVehicle_4	-21960.0	31000.0	-1686.8380000000004
freight_4_veh_carrier_4_heavyVehicle_1	heavy	4	freight_4_veh_carrier_4_heavyVehicle_1	-25584.0	31000.0	-2694.278
freight_8_veh_carrier_8_heavyVehicle_3	heavy	8	freight_8_veh_carrier_8_heavyVehicle_3	-26238.0	43000.0	-3890.082
